consumer_id energy producer_id
10049 958 10060
10010 1569 10048
10036 1336 10041
10055 1325 10034
10005 869 10000
10028 1654 10004
10061 648 10011
10017 1900 10020
10014 937 10040
10017 1195 10084
10007 1329 10049
10014 1903 10005
10068 613 10010
10046 985 10029
10084 1260 10060
10033 607 10018
10066 672 10054
10051 1857 10000
10042 1952 10023
10003 1403 10044
10075 1076 10036
10001 1306 10037
10067 1641 10050
10053 1179 10041
10079 599 10061
10046 558 10059
10039 1420 10030
10081 1080 10063
10056 1336 10084
10054 866 10021
10039 859 10038
10030 1160 10040
10043 974 10082
10029 1180 10082
10083 1822 10084
10012 1813 10042
10024 858 10045
10012 533 10035
10046 1908 10064
10063 729 10049
10049 1626 10066
10075 632 10060
10064 1522 10060
10079 1336 10049
10008 1305 10067
10038 1697 10042
10074 1342 10023
10056 1982 10051
10078 1762 10002
10034 1347 10013
10023 976 10000
10018 776 10059
10067 1556 10004
10017 1410 10028
10028 1606 10066
10014 575 10005
10022 1567 10078
10042 901 10077
10014 1985 10036
10072 1367 10035
10059 904 10025
10000 1050 10080
10016 1041 10075
10070 602 10037
10074 1332 10064
10038 1786 10079
10000 1491 10049
10061 1795 10022
10009 843 10044
10041 1408 10036
10021 612 10005
10051 564 10084
10041 889 10005
10036 590 10033
10014 1078 10026
10076 718 10077
10032 894 10075
10072 1809 10073
10083 1684 10043
10080 1749 10044
10024 881 10050
10053 631 10078
10023 1548 10033
10038 1856 10037
10018 1750 10041
10084 1904 10004
10004 898 10012
10082 827 10005
10030 822 10027
10007 1719 10068
10079 552 10030
10043 1884 10023
10073 958 10053
10051 1177 10064
10028 1319 10071
10030 1934 10019
10057 911 10027
10008 719 10044
10000 512 10049
10004 1474 10056
10007 1200 10042
10007 1798 10073
10024 555 10005
10082 1513 10035
10021 768 10040
10075 1465 10064
10010 1834 10078
10082 1819 10035
10032 1733 10029
10030 1457 10004
10047 1074 10074
10048 773 10064
10061 1205 10081
10016 1256 10013
10067 1778 10076
10016 1555 10024
10064 920 10055
10037 1406 10013
10019 767 10071
10082 979 10027
10042 1617 10043
10032 1559 10010
10051 1559 10010
10038 515 10025
10033 1117 10078
10035 1171 10040
10057 997 10019
10058 1385 10001
10073 1045 10017
10051 1015 10006
10054 503 10076
10063 670 10038
10001 834 10068
10071 809 10061
10051 511 10084
10039 1392 10084
10084 1617 10043
10043 591 10051
10013 1597 10083
10056 979 10005
10074 1110 10056
10055 1008 10015
10025 759 10070
10062 722 10069
10061 991 10029
10063 1526 10074
10036 1650 10040
10034 1641 10000
10074 503 10003
10032 701 10023
10010 1767 10007
10014 971 10046
10037 944 10078
10079 1483 10069
10056 776 10029
10071 902 10041
10007 1086 10080
10052 1321 10046
10043 1653 10053
10018 1351 10050
10070 942 10067
10047 1291 10005
10059 1671 10025
10006 550 10017
10018 955 10035
10065 1818 10011
10079 823 10025
10005 781 10018
10075 1917 10014
10059 1759 10017
10018 921 10007
10043 1602 10003
10031 1091 10077
10080 1983 10016
10081 787 10023
10021 1962 10068
10038 1648 10022
10035 1175 10005
10078 846 10017
10066 1347 10045
10043 1463 10014
10037 1475 10042
10044 1124 10016
10072 529 10057
10041 1497 10035
10062 613 10006
10036 1907 10083
10001 1855 10070
10042 1458 10053
10012 1853 10080
10047 1493 10049
10044 729 10014
10028 532 10052
10023 901 10084
10083 1450 10064
10025 1085 10055
10002 1877 10076
10047 1834 10020
10009 966 10070
10034 1345 10044
10035 1574 10070
10066 639 10056
10039 1366 10041
10059 589 10013
10025 873 10074
10027 585 10056
10027 1073 10058
10013 996 10000
10041 1062 10006
10040 674 10005
10080 1933 10036
10038 651 10033
10030 730 10072
10071 1975 10033
10052 1730 10030
10083 1533 10026
10080 1777 10051
10083 789 10081
10053 643 10045
10063 1101 10081
10013 1246 10040
